candidate_id,human_attr_completeness,human_attr_correctness,s1_completeness,s1_correctness,s2_completeness,s2_correctness,s3_completeness,s3_correctness,s4_completeness,s4_correctness,s5_completeness,s5_correctness,s6_completeness,s6_correctness
1,0.62,0.31,0.7,0.97,0.6,0.7,0.7,1,0.62,0.55,0.615,0.25,0.67,0.25
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,0.81,1,0.95,1,0.9,1,0.98,0.76,0.81,1,0.86,1,0.81
4,0.875,1,1,1,1,1,1,0.9,1,0,0.875,1,0.875,1
5,1,1,1,1,1,1,1,1,0.95,0,0.954,0.905,1,0.905
6,0.93,0.93,0.94,1,0.93,1,1,1,0.53,0.59,0.941,0.833,0.94,0.82
7,1,1,1,1,1,1,1,1,1,0.73,1,0.73,1,0.73
8,0.92,0.79,1,1,1,0.8,1,1,0.92,0.07,0.917,0.929,0.92,0.86
9,1,1,1,1,1,1,1,1,0.9,0,0.9,1,1,0.82
10,0.59,0.64,0.93,1,1,1,1,1,0.93,0.9,0.65,0.6,1,0.32
11,1,1,1,1,1,1,1,1,1,0,1,1,1,0.875
12,0.31,0.62,0.82,0.85,1,1,1,1,0.38,0.54,0.33,0.46,0.23,0.23
13,0.93,1,1,0.93,1,1,1,0.93,0.93,0.07,0.933,0.8,0.93,0.73
