candidate_id,human_rel_completeness,human_rel_correctness,s1_completeness,s1_correctness,s2_completeness,s2_correctness,s3_completeness,s3_correctness,s4_completeness,s4_correctness,s5_completeness,s5_correctness,s6_completeness,s6_correctness
1,0.5,0.88,0.7,0.75,0.67,0.75,0.57,0.75,0.4,0,0.5,0.625,0.4,0.5
2,1,0.83,1,0.6,1,1,1,0.83,1,0.5,1,0.67,1,0.67
3,0.8,0.6,0.82,1,1,1,1,1,0.64,0.5,0.636,0.6,0.64,0.6
4,0.5,0.5,0.57,1,0.57,0.94,0.5,1,1,1,0.5,0.5,1,1
5,0.75,1,0.875,0.71,0.875,0.71,0.875,0.714,0.67,0.57,0.778,1,0.67,0.86
6,0.67,0.75,0.72,0.45,0.9,0.71,0.9,0.5,0.7,0.17,0.7,0.58,0.6,0.5
7,1,1,1,0.89,1,0.95,1,0.89,1,0.7,1,1,1,1
8,0.8,0.45,0.6,0.45,0.79,0.55,1,0.4,0.55,0.3,1,0.4,0.636,0.6
9,0.67,0.86,1,0.86,1,0.86,1,0.857,0.67,0.71,0.67,0.86,0.6667,0.7143
10,0.78,0.42,0.7,0.67,0.89,0.83,0.89,0.89,0.42,0.22,1,1,0.42,0.33
11,1,0.875,1,0.86,1,0.85,1,0.75,1,0.375,1,0.875,1,0.875
12,0.29,0.47,0.75,0.85,0.33,0.43,0.87,1,0.33,0.29,1,1,0.29,0.33
13,1,1,1,0.9,1,0.95,1,0.82,1,0.45,1,0.73,1,0.7273
