candidate_id,human_attr_completeness,human_attr_correctness,s1_completeness,s1_correctness,s2_completeness,s2_correctness,s3_completeness,s3_correctness,s4_completeness,s4_correctness,s5_completeness,s5_correctness,s6_completeness,s6_correctness
1,0.62,0.31,0.33,0.63,0.56,0.39,0.5,0.75,0.5,0.29,0.625,0.2083,0.5,0.14
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,0.81,1,0.88,1,0.82,1,0.89,0.85,0.71,0.92,0.71,0.92,0.67
4,0.875,1,1,0.86,1,1,1,1,1,1,0.83,0.75,1,0.875
5,1,1,1,1,1,1,0.89,1,0.84,0.76,0.75,0.7,0.84,0.68
6,0.93,0.93,1,1,1,1,0.92,1,0.69,0.56,0.75,0.5,0.69,0.5
7,1,1,1,1,1,1,1,1,0.9,0.82,1,0.6,1,0.5
8,0.92,0.79,1,0.83,1,0.78,1,0.89,0.85,0.79,0.8,0.6667,0.69,0.53
9,1,1,1,1,1,1,1,1,0.9,0.9,0.89,0.88,0.9,0.8
10,0.59,0.64,1,1,1,1,0.95,0.94,0.79,0.73,0.765,0.5,0.71,0.52
11,1,1,1,1,1,1,1,1,0.89,0.8,1,0.71,1,0.875
12,0.31,0.62,0.67,0.78,0.5,0.78,0.6,0.56,0.31,0.31,0.375,0.333,0.333,0.211
13,0.93,1,1,1,1,1,1,1,0.83,0.71,0.8,0.54,0.77,0.54
