candidate_id,human_class_completeness,human_class_correctness,s1_completeness,s1_correctness,s2_completeness,s2_correctness,s3_completeness,s3_correctness,s4_completeness,s4_correctness,s5_completeness,s5_correctness,s6_completeness,s6_correctness
1,0.8,1,0.89,1,0.82,0.88,0.67,0.75,0.8,1,0.8,0.875,0.8,0.75
2,1,1,1,1,1,0.83,1,1,1,1,1,0.83,1,0.83
3,0.9,1,1,1,1,0.89,1,1,0.83,0.83,0.8182,0.8889,0.8333,0.8
4,0.83,1,1,1,1,1,1,1,1,1,0.83,0.8,0.83,0.8
5,1,1,1,1,1,1,1,1,0.75,0.86,0.8571,1,0.8571,1
6,1,1,1,1,1,1,1,1,1,0.91,1,1,0.9,0.9
7,1,1,1,1,1,0.89,1,1,1,1,1,0.875,1,0.875
8,0.89,0.87,0.86,0.75,0.86,0.88,0.86,0.75,0.8,0.89,0.89,0.71,0.8,0.67
9,0.875,1,1,1,0.86,1,1,1,0.88,0.88,0.875,0.8571,0.875,0.8571
10,0.73,1,1,1,1,1,1,1,0.77,0.83,0.67,1,0.69,0.7
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.44,1,1,1,0.44,0.92,1,1,0.56,0.71,0.44,0.83,0.56,0.69
13,1,1,1,1,1,1,1,1,0.89,1,1,0.9,1,0.9
