candidate_id,human_rel_completeness,human_rel_correctness,s1_completeness,s1_correctness,s2_completeness,s2_correctness,s3_completeness,s3_correctness,s4_completeness,s4_correctness,s5_completeness,s5_correctness,s6_completeness,s6_correctness
1,0.5,0.88,0.67,0.25,0.8,0.13,0.89,0.38,0.3,0.38,0.45,0.625,0.8,0.25
2,1,0.83,1,0.67,1,0.67,1,0.67,1,0.333,1,0.83,1,0.5
3,0.8,0.6,0.82,0.89,0.89,0.67,0.9,0.7,0.6,0.5,0.7273,0.6,0.7,0.5
4,0.5,0.5,0.5,0,0.75,0,0.75,0,1,0.75,1,1,1,0.75
5,0.75,1,0.88,0.43,0.86,0.29,1,0.5714,0.78,0.25,0.7,0.86,0.78,0.57
6,0.67,0.75,0.89,0.55,1,0.58,1,0.58,0.7,0.29,0.7,0.5,0.7,0.5
7,1,1,1,0.89,1,0.56,1,0.9,1,0.4,1,0.9,1,1
8,0.8,0.45,0.86,0.38,0.86,0.25,0.88,0.44,0.7,0.44,0.67,0.6,0.5,0.5
9,0.67,0.86,1,0.71,0.86,0.57,1,0.875,0.75,0.5,0.75,0.75,0.667,0.714
10,0.78,0.42,0.67,0.22,0.78,0.11,0.89,0.56,0.56,0.44,0.8,0.44,0.875,0.444
11,1,0.875,1,0.71,1,0.57,1,0.75,1,0.375,1,0.78,1,0.875
12,0.29,0.47,0.79,0.69,0.79,0.43,0.79,0.47,0.5,0.35,0.5,0.56,0.5714,0.5
13,1,1,1,0.7,1,0.82,1,0.8,0.89,0.62,0.89,0.73,0.89,0.58
